Período;Região;Instituição;Localização Geográfica;Médicos S/ Internos;Médicos Internos;Enfermeiros;Técnicos Superiores de Saúde;Farmacêuticos;Técnicos de Diagnóstico e Terapêutica;Assistentes Técnicos;Assistentes Operacionais;Técnicos Superiores;Informáticos;Outros;Total Geral
2019-05;Região de Saúde LVT;Instituto Português Oncologia Francisco Gentil - Lisboa, E.P.E.;38.7396768,-9.1634516;256;108;545;29;;186;221;396;93;9;35;1878
2019-05;Região de Saúde LVT;Instituto de Oftalmologia Gama Pinto;38.7218793,-9.144249;31;6;22;1;;12;23;12;8;1;7;123
2019-05;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;91;41;375;6;;76;159;211;21;4;15;999
2019-06;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;1;0;4;0;;0;38;8;125;2;27;205
2019-06;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;271;88;453;32;;105;321;177;112;11;13;1583
2019-06;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;116;40;216;16;;30;182;83;68;8;13;772
2019-06;Região de Saúde Norte;Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;318;186;1004;29;;182;221;621;42;18;10;2631
2019-06;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;165;120;594;14;;125;204;414;33;8;14;1691
2019-06;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;719;482;1474;63;;303;395;917;95;18;33;4499
2019-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;234;144;826;23;;132;165;522;33;9;10;2098
2019-06;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713,-9.1822554;392;216;964;15;;203;228;622;68;10;31;2749
2019-07;Serviços Centrais;Ação Governativa;38.7362218,-9.1463126;0;0;0;0;;0;5;7;0;1;25;38
2019-07;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;37.027122,-7.946842;286;73;453;32;;106;336;180;117;11;13;1607
2019-07;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;2058;749;2812;152;;191;1997;730;388;24;35;9136
2019-07;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E.P.E.;40.9293884,-8.5458794;284;169;670;17;;132;174;647;40;9;8;2150
2019-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;111;87;401;10;;99;158;302;62;10;8;1248
2019-07;Região de Saúde Norte;Centro Hospitalar Universitário de S. João, E.P.E.;41.1831056,-8.6010558;890;578;2360;53;;357;390;1248;146;22;42;6086
2019-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984,-8.4802503;169;57;392;12;;78;108;255;16;4;14;1105
2019-07;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;718;474;1467;63;;306;397;913;96;18;33;4485
2019-07;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561,-8.264901;279;155;668;13;;117;218;498;39;10;19;2016
2019-07;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;232;142;829;23;;133;167;521;34;8;11;2100
2019-07;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;338;209;916;19;;175;221;532;28;7;22;2467
2019-07;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234,-8.6171561;63;48;191;5;;31;49;133;12;3;5;540
2019-07;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946,-8.6937515;176;111;590;13;;115;132;432;25;4;18;1616
2019-07;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;204;125;555;6;;129;149;349;30;6;28;1581
2019-07;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649,-8.6649823;36;21;143;13;;9;28;125;16;3;8;402
2019-07;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, E.P.E.;38.7422257,-9.2264834;375;271;1013;39;;234;278;689;57;10;36;3002
2019-07;Região de Saúde LVT;Instituto Português Oncologia Francisco Gentil - Lisboa, E.P.E.;38.7396768,-9.1634516;256;106;539;29;;187;221;399;94;10;34;1875
2019-07;Serviços Centrais;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827,-9.1663422;7;0;4;91;;104;93;62;125;3;65;554
2019-07;Região de Saúde Norte;Instituto Português Oncologia Francisco Gentil - Porto, E.P.E.;41.1785642,-8.6062881;293;96;729;63;;184;209;505;64;13;22;2178
2019-07;Serviços Centrais;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767,-9.1489431;0;0;0;0;;0;61;3;138;16;48;266
2019-07;Região de Saúde do Centro;Unidade Local de Saúde Guarda, E.P.E.;40.5309916,-7.2734793;214;96;723;30;;135;221;534;49;12;14;2028
2019-07;Região de Saúde do Alentejo;Unidade Local de Saúde Baixo Alentejo, E.P.E.;38.014123,-7.8721227;147;68;592;29;;128;244;401;46;17;19;1691
2019-07;Serviços Centrais;Inspeção-Geral das Atividades em Saúde;41.1764649,-8.6649823;0;0;0;0;;0;15;3;7;2;58;85
2019-08;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;38.565715,-7.91162;119;35;216;16;;31;185;82;67;8;14;773
2019-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;235;139;833;23;;134;168;525;35;8;10;2110
2019-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;269;135;734;19;;115;142;398;18;4;23;1857
2019-08;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;166;115;611;14;;124;203;421;33;8;13;1708
2019-08;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;340;208;935;19;;175;221;550;32;7;22;2509
2019-08;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;117;81;401;10;;99;158;306;62;10;8;1252
2019-08;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015,-8.5933462;6;;39;2;;9;21;30;6;1;3;117
2019-08;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;206;123;558;6;;130;150;354;30;6;28;1591
2019-08;Serviços Centrais;Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.;38.7582532,-9.1502867;;;;9;;2;75;6;222;2;32;348
2019-08;Região de Saúde LVT;Instituto Português Oncologia Francisco Gentil - Lisboa, E.P.E.;38.7396768,-9.1634516;259;103;540;29;;186;222;399;94;10;32;1874
2019-08;Região de Saúde Norte;Instituto Português Oncologia Francisco Gentil - Porto, E.P.E.;41.1785642,-8.6062881;297;86;728;63;;186;208;517;64;13;22;2184
2019-08;Serviços Centrais;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;38.7653399,-9.1611815;1;;;1;;;39;3;67;8;44;163
2019-08;Região de Saúde do Centro;Unidade Local de Saúde Guarda, E.P.E.;40.5309916,-7.2734793;219;91;730;29;;135;221;544;49;12;14;2044
2019-08;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;94;37;389;5;;81;159;212;22;4;14;1017
2019-09;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;351;196;937;19;;174;221;552;31;7;22;2510
2019-09;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;871;615;1990;76;;499;588;1489;176;24;68;6396
2019-09;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;743;442;1471;63;;304;397;929;96;18;33;4496
2019-09;Região de Saúde Norte;Hospital de Magalhães Lemos, E.P.E.;41.1764649,-8.6649823;40;20;144;13;;9;28;133;15;3;7;412
2019-09;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, E.P.E.;40.117897,-8.8586755;90;58;221;6;;58;60;147;19;3;7;669
2019-09;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946,-8.6937515;185;104;595;13;;115;130;440;25;4;18;1629
2019-09;Região de Saúde do Centro;Hospital Doutor Francisco Zagalo - Ovar;40.8571967,-8.6318023;20;;51;1;;17;28;42;11;3;5;178
2019-09;Serviços Centrais;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758,-9.1505021;29;;75;21;;128;80;79;42;9;9;472
2019-09;Serviços Centrais;Serviços Partilhados do Ministério da Saúde, E.P.E.;38.739767,-9.1489431;;;;;;;59;3;136;16;47;261
2019-09;Região de Saúde do Alentejo;Unidade Local de Saúde Norte Alentejano, E.P.E.;39.3003425,-7.4263845;152;50;566;8;;117;241;359;41;9;26;1569
2019-10;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;41.157454,-8.604431;2051;723;2833;153;;190;1993;722;390;24;36;9115
2019-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;263;145;775;15;;163;203;643;46;7;27;2287
2019-10;Região de Saúde Norte;Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;332;172;1019;29;;186;226;656;43;18;12;2693
2019-10;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E.P.E.;39.478072,-8.5404429;163;71;764;25;;160;186;547;50;11;21;1998
2019-10;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;463;303;1603;35;;331;499;1017;120;21;34;4426
2019-10;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro - Rovisco Pais;40.297919,-8.7707806;14;11;69;2;;29;21;72;15;2;3;238
2019-10;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;207;119;558;6;;131;153;361;30;6;28;1599
2019-10;Região de Saúde do Centro;Hospital Doutor Francisco Zagalo - Ovar;40.8571967,-8.6318023;20;;51;1;;17;29;42;11;3;5;179
2019-10;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713,-9.1822554;407;201;980;15;;208;234;631;66;10;33;2785
2019-10;Serviços Centrais;Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.;38.7582532,-9.1502867;;;;9;;2;74;6;226;2;32;351
2019-10;Serviços Centrais;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;38.7643827,-9.1663422;7;;4;90;;103;93;62;128;4;66;557
2019-10;Região de Saúde do Centro;Instituto Português Oncologia Francisco Gentil - Coimbra, E.P.E.;40.2162514,-8.4103814;152;43;276;27;;100;114;261;28;5;12;1018
2019-10;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, E.P.E.;41.7056054,-8.8252713;409;173;951;34;;118;369;518;69;13;19;2673
2019-10;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;93;34;382;5;;81;157;219;22;4;14;1011
2019-10;Região de Saúde Norte;Unidade Local de Saúde Nordeste, E.P.E.;41.8056532,-6.7888197;205;98;670;22;;126;263;412;56;14;10;1876
2019-11;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E.P.E.;40.9293884,-8.5458794;296;158;687;17;;132;176;666;40;10;8;2190
2019-11;Região de Saúde Norte;Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;329;171;1023;29;;188;228;656;44;18;13;2699
2019-11;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;462;300;1628;35;;329;499;1015;119;21;35;4443
2019-11;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro - Rovisco Pais;40.297919,-8.7707806;14;11;69;2;;29;20;72;15;2;3;237
2019-11;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234,-8.6171561;65;47;200;5;;31;49;141;12;3;5;558
2019-11;Serviços Centrais;Inspeção-Geral das Atividades em Saúde;38.7156219,-9.1431603;;;;;;;15;3;7;1;54;80
2019-11;Região de Saúde Norte;Instituto Português Oncologia Francisco Gentil - Porto, E.P.E.;41.1785642,-8.6062881;300;83;748;63;;185;211;522;61;13;23;2209
2019-11;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, E.P.E.;41.7056054,-8.8252713;410;172;955;34;;117;372;516;69;13;19;2677
2019-11;Região de Saúde do Alentejo;Unidade Local de Saúde Baixo Alentejo, E.P.E.;38.014123,-7.8721227;146;59;601;29;;130;246;415;49;17;20;1712
2019-12;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;38.7569402,-9.1494097;1;;4;;;;36;7;119;4;27;198
2019-12;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;38.748879,-9.139606;2134;695;2744;161;;309;1954;557;376;32;41;9003
2019-12;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E.P.E.;40.9293884,-8.5458794;297;158;684;17;;131;177;672;40;10;8;2194
2019-12;Região de Saúde Norte;Centro Hospitalar de Vila Nova de Gaia/Espinho, E.P.E.;41.1094138,-8.5972617;585;309;1275;35;;237;296;914;67;16;22;3756
2019-12;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;169;106;608;13;;132;209;420;27;8;24;1716
2019-12;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, E.P.E.;40.117897,-8.8586755;92;57;226;6;;57;62;147;19;3;7;676
2019-12;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234,-8.6171561;64;47;200;5;;30;51;142;12;3;5;559
2019-12;Serviços Centrais;Instituto Nacional de Emergência Médica, I.P.;38.7313954,-9.1447467;10;;170;;;;81;6;59;10;980;1316
2019-12;Serviços Centrais;Instituto Português do Sangue e da Transplantação, I.P.;38.7567758,-9.1505021;29;;75;21;;128;82;76;42;9;9;471
2019-12;Região de Saúde do Centro;Instituto Português Oncologia Francisco Gentil - Coimbra, E.P.E.;40.2162514,-8.4103814;152;43;276;28;;100;114;262;32;5;12;1024
2019-12;Região de Saúde LVT;Instituto Português Oncologia Francisco Gentil - Lisboa, E.P.E.;38.7396768,-9.1634516;262;95;586;32;;190;230;407;92;10;35;1939
2019-12;Serviços Centrais;Secretaria Geral do Ministério da Saúde;38.7362218,-9.1463126;;;;;;;15;15;22;2;7;61
2019-12;Região de Saúde do Centro;Unidade Local de Saúde Guarda, E.P.E.;40.5309916,-7.2734793;214;88;732;30;;139;225;539;43;11;26;2047
2020-01;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;;1;;4;;;;36;7;114;4;26;192
2020-01;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;;276;83;457;33;;106;334;179;118;11;12;1609
2020-01;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;;1027;458;1356;73;;146;1087;463;218;18;21;4867
2020-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812,-8.7982706;247;159;851;23;;138;169;527;36;9;8;2167
2020-01;Região de Saúde Norte;Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;325;204;1026;30;;186;227;666;41;18;13;2736
2020-01;Região de Saúde LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629,-9.1258493;169;105;607;13;;133;210;417;28;8;24;1714
2020-01;Região de Saúde Norte;Centro Hospitalar Universitário de S. João, E.P.E.;41.1831056,-8.6010558;923;615;2410;55;;361;406;1321;157;22;48;6318
2020-01;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713,-9.1822554;406;241;1007;15;;206;231;640;72;10;33;2861
2020-01;Serviços Centrais;Infarmed - Autoridade Nacional do Medicamento e Produtos de Saúde, I.P.;;;;;9;;2;72;6;221;2;30;342
2020-01;Serviços Centrais;Secretaria Geral do Ministério da Saúde;;;;;;;;15;15;22;2;7;61
2020-01;Serviços Centrais;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;;1;;;1;;;43;3;65;8;43;164
2020-01;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;90;50;389;5;;83;163;222;25;4;13;1044
2020-01;Região de Saúde Norte;Unidade Local de Saúde Matosinhos, E.P.E.;41.1794456,-8.6745115;432;254;861;21;;139;303;398;52;11;31;2502
2020-01;Região de Saúde do Alentejo;Unidade Local de Saúde Norte Alentejano, E.P.E.;39.3003425,-7.4263845;152;58;569;8;;118;240;360;39;9;26;1579
2020-02;Serviços Centrais;Ação Governativa;;;;;;;;7;6;;1;20;34
2020-02;Região de Saúde do Alentejo;Administração Regional de Saúde do Alentejo, I.P.;;113;40;222;14;;34;188;80;68;9;13;781
2020-02;Região de Saúde LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754,-8.8818638;255;157;788;14;;165;201;658;45;7;25;2315
2020-02;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984,-8.4802503;168;67;394;12;;80;106;265;17;4;15;1128
2020-02;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E.P.E.;39.478072,-8.5404429;161;88;769;25;;161;188;553;51;11;20;2027
2020-02;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364,-8.0827433;350;226;954;19;;175;218;555;32;7;22;2558
2020-02;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973,-7.9281554;454;304;1640;34;;327;500;1063;122;21;34;4499
2020-02;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;203;138;561;6;;132;157;372;31;6;28;1634
2020-02;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713,-9.1822554;405;241;1007;15;;205;233;635;74;10;31;2856
2020-02;Região de Saúde Norte;Unidade Local de Saúde Nordeste, E.P.E.;41.8056532,-6.7888197;202;114;676;22;;131;262;417;57;14;10;1905
2020-03;Serviços Centrais;Administração Central do Sistema de Saúde, I.P.;;1;;3;;;;35;7;110;4;27;187
2020-03;Região de Saúde do Centro;Administração Regional de Saúde do Centro, I.P.;;1029;441;1364;71;;145;1093;447;217;17;21;4845
2020-03;Região de Saúde Norte;Administração Regional de Saúde do Norte, I.P.;;2034;848;2864;151;;189;1998;711;417;26;37;9275
2020-03;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E.P.E.;40.9293884,-8.5458794;295;176;683;17;;130;177;669;39;10;11;2207
2020-03;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454,-9.216985;566;390;1441;42;;335;400;954;68;11;33;4240
2020-03;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;1016;692;3002;112;;501;707;1778;141;28;54;8031
2020-03;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;58;39;161;45;;35;53;148;39;4;13;595
2020-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;116;90;401;11;;98;157;308;60;10;9;1260
2020-03;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;844;653;2006;74;;492;602;1490;176;24;70;6431
2020-03;Região de Saúde Norte;Hospital de Braga, E.P.E.;41.567832,-8.398936;498;304;995;18;;166;240;705;82;5;11;3024
2020-03;Serviços Centrais;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;;7;;4;89;;104;90;58;125;5;66;548
2020-03;Região de Saúde Norte;Instituto Português Oncologia Francisco Gentil - Porto, E.P.E.;41.1785642,-8.6062881;299;100;747;63;;183;206;507;62;13;25;2205
2020-03;Região de Saúde Norte;Unidade Local de Saúde Alto Minho, E.P.E.;41.7056054,-8.8252713;408;193;963;34;;121;372;518;66;13;18;2706
2020-03;Região de Saúde do Alentejo;Unidade Local de Saúde Litoral Alentejano, E.P.E.;38.0162314,-8.6956768;91;49;390;5;;83;163;222;24;4;12;1043
2020-04;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, E.P.E.;41.2494561,-8.264901;301;160;735;11;;123;219;575;41;10;18;2193
2020-04;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;119;90;433;11;;98;157;316;61;10;9;1304
2020-04;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;844;654;2015;74;;496;606;1513;178;24;70;6474
2020-04;Região de Saúde Norte;Centro Hospitalar Universitário de S. João, E.P.E.;41.1831056,-8.6010558;935;596;2453;55;;368;411;1338;159;22;47;6384
2020-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;736;485;1566;64;;310;408;960;103;17;32;4681
2020-04;Região de Saúde LVT;Instituto Português Oncologia Francisco Gentil - Lisboa, E.P.E.;38.7396768,-9.1634516;263;112;582;32;;197;236;412;93;11;32;1970
2020-04;Serviços Centrais;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;;1;;;1;;;42;3;66;8;44;165
2020-05;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;279;148;770;21;;119;144;427;21;4;23;1956
2020-05;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523,-8.4098211;1005;683;3061;112;;511;708;1821;143;28;53;8125
2020-05;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158,-7.4922407;118;89;440;11;;99;157;319;61;10;9;1313
2020-05;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro - Rovisco Pais;40.297919,-8.7707806;15;12;73;3;;29;18;81;13;2;3;249
2020-05;Região de Saúde do Alentejo;Hospital do Espírito Santo de Évora, E.P.E.;38.5684861,-7.9032848;198;132;571;5;;137;155;392;34;6;29;1659
2020-05;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234,-8.6171561;66;48;218;5;;32;53;156;10;3;5;596
2020-05;Serviços Centrais;Inspeção-Geral das Atividades em Saúde;;;;;;;;14;3;6;1;53;77
2020-05;Serviços Centrais;Instituto Nacional de Emergência Médica, I.P.;;11;;187;;;;85;8;75;10;1075;1451
2020-05;Serviços Centrais;Serviços Partilhados do Ministério da Saúde, E.P.E.;;;;;;;;62;3;155;17;45;282
2020-05;Região de Saúde Norte;Unidade Local de Saúde Matosinhos, E.P.E.;41.1794456,-8.6745115;442;245;913;22;;146;303;419;56;11;31;2588
2020-06;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;;272;81;468;34;;117;367;232;121;11;13;1716
2020-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;276;146;783;21;;120;144;429;21;4;23;1967
2020-06;Região de Saúde Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984,-8.4802503;168;66;404;12;;81;104;260;15;3;17;1130
2020-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;58;38;166;46;;35;52;148;39;4;13;599
2020-06;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861,-9.1616116;842;645;2025;74;;493;610;1526;178;24;67;6484
2020-06;Região de Saúde LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946,-8.6937515;179;118;610;13;;118;150;467;28;6;16;1705
2020-06;Região de Saúde LVT;Hospital Garcia de Orta, E.P.E.;38.6658713,-9.1822554;410;230;1015;17;;225;234;653;70;10;31;2895
2020-06;Região de Saúde LVT;Instituto de Oftalmologia Gama Pinto;38.7218793,-9.144249;27;6;24;1;;10;22;11;9;1;6;117
2020-06;Serviços Centrais;Instituto Português do Sangue e da Transplantação, I.P.;;28;;73;20;;134;77;76;44;9;9;470
2020-06;Região de Saúde do Centro;Unidade Local de Saúde Castelo Branco, E.P.E.;39.8212263,-7.4981271;157;74;506;17;;94;175;324;30;11;8;1396
2020-06;Região de Saúde do Alentejo;Unidade Local de Saúde Norte Alentejano, E.P.E.;39.3003425,-7.4263845;149;55;576;7;;120;237;378;40;9;25;1596
2020-07;Região de Saúde LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005,-9.0592392;178;115;681;14;;160;177;474;34;8;23;1864
2020-07;Região de Saúde Norte;Centro Hospitalar de Entre o Douro e Vouga, E.P.E.;40.9293884,-8.5458794;296;170;719;17;;142;185;691;40;10;11;2281
2020-07;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453,-8.6543716;277;144;788;21;;121;147;427;23;4;23;1975
2020-07;Região de Saúde LVT;Centro Hospitalar Médio Tejo, E.P.E.;39.478072,-8.5404429;160;82;807;25;;180;194;608;58;12;20;2146
2020-07;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo - Cantanhede;40.3470015,-8.5933462;7;;44;2;;14;21;35;7;1;3;134
2020-07;Região de Saúde Norte;Hospital de Braga, E.P.E.;41.567832,-8.398936;491;296;1078;17;;169;240;783;89;6;10;3179
2020-07;Região de Saúde do Centro;Hospital Doutor Francisco Zagalo - Ovar;40.8571967,-8.6318023;21;;71;2;;20;28;53;14;3;5;217
2020-07;Região de Saúde Norte;Hospital Santa Maria Maior, E.P.E.;41.5324234,-8.6171561;67;46;216;5;;32;54;158;10;3;5;596
2020-07;Região de Saúde LVT;Instituto de Oftalmologia Gama Pinto;38.7218793,-9.144249;28;6;24;1;;10;22;11;8;1;6;117
2020-07;Serviços Centrais;Instituto Nacional de Saúde Dr. Ricardo Jorge, I.P.;;7;;4;89;;102;91;59;125;5;66;548
2020-07;Serviços Centrais;Instituto Português do Sangue e da Transplantação, I.P.;;28;;73;20;;135;79;76;45;9;9;474
2020-07;Serviços Centrais;Secretaria Geral do Ministério da Saúde;;;;;;;;14;15;21;2;7;59
2020-08;Região de Saúde do Algarve;Administração Regional de Saúde do Algarve, I.P.;;268;82;496;34;;112;355;243;120;11;13;1734
2020-08;Região de Saúde Norte;Centro Hospitalar de Trás-os-Montes e Alto Douro, E.P.E.;41.3031784,-7.7515252;317;203;1093;30;;205;235;708;46;18;12;2867
2020-08;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498,-8.6172617;736;475;1558;64;;312;408;944;101;16;30;4644
2020-08;Região de Saúde Norte;Hospital da Senhora da Oliveira - Guimarães, E.P.E.;41.4387173,-8.3086907;273;167;753;15;;121;140;389;39;7;20;1924
2020-08;Região de Saúde do Centro;Hospital Doutor Francisco Zagalo - Ovar;40.8571967,-8.6318023;20;;66;2;;20;28;50;14;3;5;208
2020-08;Serviços Centrais;Secretaria Geral do Ministério da Saúde;;;;;;;;14;15;21;2;7;59
2020-08;Serviços Centrais;Serviço de Intervenção nos Comportamentos Aditivos e nas Dependências;;1;;;1;;;42;3;68;8;44;167
2020-09;Região de Saúde LVT;Administração Regional de Saúde de Lisboa e Vale do Tejo, I.P.;;2061;817;2774;158;;321;2068;646;381;33;41;9300
